fraction,mode,n_samples,mean_score_drop,flip_rate,base_accuracy,dataset,model
0.05,top,50,1.8191959566918456,0.04,0.8823529411764706,DiatomSizeReduction,MrSQM
0.1,bottom,50,0.5373691064762324,0.0,0.8823529411764706,DiatomSizeReduction,MrSQM
0.1,random,50,1.413329592371621,0.02,0.8823529411764706,DiatomSizeReduction,MrSQM
0.1,top,50,2.107367459519343,0.06,0.8823529411764706,DiatomSizeReduction,MrSQM
0.2,bottom,50,0.9343562836781169,0.0,0.8823529411764706,DiatomSizeReduction,MrSQM
0.2,random,50,1.7361152761108278,0.02,0.8823529411764706,DiatomSizeReduction,MrSQM
0.2,top,50,2.2524247144618714,0.08,0.8823529411764706,DiatomSizeReduction,MrSQM
0.05,bottom,50,-5.051342538733738e-05,0.08,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.05,random,50,0.7996253725899527,0.22,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.05,top,50,1.1881822956724557,0.16,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.1,bottom,50,0.3282373654742508,0.16,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.1,random,50,1.1557821073133754,0.2533333333333333,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.1,top,50,2.0440750392111493,0.32,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.2,bottom,50,0.719749459119792,0.2,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.2,random,50,2.1769064123096302,0.5133333333333333,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.2,top,50,3.178286575425856,0.5,0.762589928057554,DistalPhalanxOutlineAgeGroup,MrSQM
0.05,bottom,50,0.290911843077198,0.04,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.05,random,50,1.221664557671024,0.18,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.05,top,50,2.464427580845645,0.44,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.1,bottom,50,0.5280749835226206,0.08,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.1,random,50,1.602035653198825,0.28,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.1,top,50,2.992008030042615,0.58,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.2,bottom,50,0.986917493821298,0.14,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.2,random,50,2.313987822096975,0.4533333333333333,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.2,top,50,3.276282142524301,0.62,0.7717391304347826,DistalPhalanxOutlineCorrect,MrSQM
0.05,bottom,50,0.9333117848761202,0.02,0.6690647482014388,DistalPhalanxTW,MrSQM
0.05,random,50,2.0657230574807035,0.0666666666666666,0.6690647482014388,DistalPhalanxTW,MrSQM
0.05,top,50,3.38591644032965,0.08,0.6690647482014388,DistalPhalanxTW,MrSQM
0.1,bottom,50,1.349031426030485,0.04,0.6690647482014388,DistalPhalanxTW,MrSQM
0.1,random,50,3.133733419629396,0.06,0.6690647482014388,DistalPhalanxTW,MrSQM
0.1,top,50,4.164580020598589,0.12,0.6690647482014388,DistalPhalanxTW,MrSQM
0.2,bottom,50,2.4289003926808963,0.04,0.6690647482014388,DistalPhalanxTW,MrSQM
0.2,random,50,3.886984792344516,0.16,0.6690647482014388,DistalPhalanxTW,MrSQM
0.2,top,50,4.589066609805579,0.2,0.6690647482014388,DistalPhalanxTW,MrSQM
0.05,bottom,46,0.1667038434721207,0.108695652173913,0.5974025974025974,DodgerLoopDay,MrSQM
0.05,random,46,0.3824707598507199,0.1666666666666666,0.5974025974025974,DodgerLoopDay,MrSQM
0.05,top,46,0.4318030555461565,0.108695652173913,0.5974025974025974,DodgerLoopDay,MrSQM
0.1,bottom,46,0.5241377256926326,0.1739130434782608,0.5974025974025974,DodgerLoopDay,MrSQM
0.1,random,46,0.8297842866234864,0.3115942028985507,0.5974025974025974,DodgerLoopDay,MrSQM
0.1,top,46,1.042510409953692,0.2391304347826087,0.5974025974025974,DodgerLoopDay,MrSQM
0.2,bottom,46,1.0077803744883025,0.4347826086956521,0.5974025974025974,DodgerLoopDay,MrSQM
0.2,random,46,1.6707945035455058,0.4130434782608695,0.5974025974025974,DodgerLoopDay,MrSQM
