dataset,model,total_time,accuracy,f1_macro,f1_weighted,seed
DiatomSizeReduction,lr_classifier,0.0049451670020062,0.9575163398692812,0.9375958961825231,0.9557982603746724,4
DiatomSizeReduction,lr_classifier,0.0049159580012201,0.9575163398692812,0.9375958961825231,0.9557982603746724,5
DistalPhalanxOutlineAgeGroup,lr_classifier,0.0062455000006593,0.6906474820143885,0.6758562847981625,0.6927862475150428,1
DistalPhalanxOutlineAgeGroup,lr_classifier,0.006090207996749,0.6906474820143885,0.6758562847981625,0.6927862475150428,2
DistalPhalanxOutlineAgeGroup,lr_classifier,0.0068088340012764,0.6906474820143885,0.6758562847981625,0.6927862475150428,3
DistalPhalanxOutlineAgeGroup,lr_classifier,0.0064851669994823,0.6906474820143885,0.6758562847981625,0.6927862475150428,4
DistalPhalanxOutlineAgeGroup,lr_classifier,0.0061249999998835,0.6906474820143885,0.6758562847981625,0.6927862475150428,5
DistalPhalanxOutlineCorrect,lr_classifier,0.0043436250016384,0.6413043478260869,0.6296306336834971,0.6405896306336836,1
DistalPhalanxOutlineCorrect,lr_classifier,0.0045717920002061,0.6413043478260869,0.6296306336834971,0.6405896306336836,2
DistalPhalanxOutlineCorrect,lr_classifier,0.0045626249993802,0.6413043478260869,0.6296306336834971,0.6405896306336836,3
DistalPhalanxOutlineCorrect,lr_classifier,0.0044620830012718,0.6413043478260869,0.6296306336834971,0.6405896306336836,4
DistalPhalanxOutlineCorrect,lr_classifier,0.0044242499971005,0.6413043478260869,0.6296306336834971,0.6405896306336836,5
DistalPhalanxTW,lr_classifier,0.0203142919999663,0.5971223021582733,0.4820263400655558,0.604921705454926,1
DistalPhalanxTW,lr_classifier,0.0196985829970799,0.5971223021582733,0.4820263400655558,0.604921705454926,2
DistalPhalanxTW,lr_classifier,0.0197035410019452,0.5971223021582733,0.4820263400655558,0.604921705454926,3
DistalPhalanxTW,lr_classifier,0.0195990419997542,0.5971223021582733,0.4820263400655558,0.604921705454926,4
DistalPhalanxTW,lr_classifier,0.0198363329982385,0.5971223021582733,0.4820263400655558,0.604921705454926,5
DodgerLoopDay,lr_classifier,0.0072862500019255,0.5584415584415584,0.5504975872988295,0.560396779016203,1
DodgerLoopDay,lr_classifier,0.0067523750003601,0.5584415584415584,0.5504975872988295,0.560396779016203,2
