dataset,backend,total_time,accuracy,f1_macro,f1_weighted,target_length,seed
HouseTwenty,cpu,0.9733565419992374,0.9495798319327732,0.9482608695652174,0.9495798319327732,8000,42
PigArtPressure,cpu,1.6329571250025765,0.9855769230769232,0.9848595848595848,0.9848595848595848,8000,42
Chinatown,cpu,0.0749610419989039,0.9825072886297376,0.9784385214986172,0.9826711316014606,8000,42
SonyAIBORobotSurface1,cpu,0.3891262920005829,0.9201331114808652,0.919829253651704,0.9205273054213986,8000,42
SmoothSubspace,cpu,0.0294787080019887,0.96,0.9599966663333,0.9599966663333,8000,42
ItalyPowerDemand,cpu,0.2160908749974623,0.967930029154519,0.9679295445422992,0.967929908001464,8000,42
SmoothSubspace,cpu,0.0315374160018109,0.96,0.9599966663333,0.9599966663333,8000,42
Strawberry,cpu,1.978881916998944,0.9756756756756756,0.9737172353372956,0.9757726281676746,8000,42
HandOutlines,mps,24.814265666998836,0.9486486486486486,0.9431574691732364,0.9481234053944788,9000,42
FordB,mps,20.248643791001086,0.8197530864197531,0.8196431294799451,0.8196871122558683,9000,42
NonInvasiveFetalECGThorax1,mps,25.639032250001037,0.9399491094147584,0.9352545461841888,0.938385367555758,9000,42
Rock,mps,2.2839598750033474,0.92,0.9193970503181028,0.9202955465587044,9000,42
HouseTwenty,mps,1.857927250002831,0.9495798319327732,0.9482608695652174,0.9495798319327732,9000,42
PigArtPressure,mps,3.654297000000952,0.9855769230769232,0.9848595848595848,0.9848595848595848,9000,42
Chinatown,mps,0.0127941250029834,0.9825072886297376,0.9784385214986172,0.9826711316014606,9000,42
SonyAIBORobotSurface1,mps,0.1522095420004916,0.9201331114808652,0.919829253651704,0.9205273054213986,9000,42
SmoothSubspace,mps,0.0081561660008446,0.96,0.9599966663333,0.9599966663333,9000,42
ItalyPowerDemand,mps,0.0298594169980788,0.967930029154519,0.9679295445422992,0.967929908001464,9000,42
SmoothSubspace,mps,0.0071245420003833,0.96,0.9599966663333,0.9599966663333,9000,42
Strawberry,mps,1.5056967089985849,0.9756756756756756,0.9737172353372956,0.9757726281676746,9000,42
HandOutlines,cpu,10.501773207997758,0.9486486486486486,0.9431574691732364,0.9481234053944788,9000,42
FordB,cpu,23.052746334000403,0.8197530864197531,0.8196431294799451,0.8196871122558683,9000,42
NonInvasiveFetalECGThorax1,cpu,10.65521012500176,0.9399491094147584,0.9352545461841888,0.938385367555758,9000,42
Rock,cpu,0.8358830830002262,0.92,0.9193970503181028,0.9202955465587044,9000,42
HouseTwenty,cpu,1.4210894999996526,0.9495798319327732,0.9482608695652174,0.9495798319327732,9000,42
PigArtPressure,cpu,2.2274085839999316,0.9855769230769232,0.9848595848595848,0.9848595848595848,9000,42
Chinatown,cpu,0.0831197080005949,0.9825072886297376,0.9784385214986172,0.9826711316014606,9000,42
SonyAIBORobotSurface1,cpu,0.451518041001691,0.9201331114808652,0.919829253651704,0.9205273054213986,9000,42
SmoothSubspace,cpu,0.0304180419989279,0.96,0.9599966663333,0.9599966663333,9000,42
ItalyPowerDemand,cpu,0.2246044999992591,0.967930029154519,0.9679295445422992,0.967929908001464,9000,42
SmoothSubspace,cpu,0.0336048749995825,0.96,0.9599966663333,0.9599966663333,9000,42
Strawberry,cpu,2.0883644170025946,0.9756756756756756,0.9737172353372956,0.9757726281676746,9000,42
HandOutlines,mps,24.784177542002,0.9486486486486486,0.9431574691732364,0.9481234053944788,10000,42
FordB,mps,20.29642504200092,0.8197530864197531,0.8196431294799451,0.8196871122558683,10000,42
NonInvasiveFetalECGThorax1,mps,25.636711458002537,0.9399491094147584,0.9352545461841888,0.938385367555758,10000,42
Rock,mps,2.2597546670003794,0.92,0.9193970503181028,0.9202955465587044,10000,42
HouseTwenty,mps,3.2217313749970344,0.9495798319327732,0.9482608695652174,0.9495798319327732,10000,42
PigArtPressure,mps,6.324065332999453,0.9855769230769232,0.9848595848595848,0.9848595848595848,10000,42
Chinatown,mps,0.01222108300135,0.9825072886297376,0.9784385214986172,0.9826711316014606,10000,42
SonyAIBORobotSurface1,mps,0.1386518750005052,0.9201331114808652,0.919829253651704,0.9205273054213986,10000,42
SmoothSubspace,mps,0.0073583339981269,0.96,0.9599966663333,0.9599966663333,10000,42
ItalyPowerDemand,mps,0.0297510420023172,0.967930029154519,0.9679295445422992,0.967929908001464,10000,42
SmoothSubspace,mps,0.0076487500009534,0.96,0.9599966663333,0.9599966663333,10000,42
Strawberry,mps,1.4865536249999425,0.9756756756756756,0.9737172353372956,0.9757726281676746,10000,42
HandOutlines,cpu,14.324455042002228,0.9486486486486486,0.9431574691732364,0.9481234053944788,10000,42
FordB,cpu,25.27123008299895,0.8197530864197531,0.8196431294799451,0.8196871122558683,10000,42
NonInvasiveFetalECGThorax1,cpu,10.488796124998771,0.9399491094147584,0.9352545461841888,0.938385367555758,10000,42
Rock,cpu,0.8410063330011326,0.92,0.9193970503181028,0.9202955465587044,10000,42
HouseTwenty,cpu,1.3742296660020656,0.9495798319327732,0.9482608695652174,0.9495798319327732,10000,42
PigArtPressure,cpu,2.1490670000021055,0.9855769230769232,0.9848595848595848,0.9848595848595848,10000,42
Chinatown,cpu,0.0780582500010496,0.9825072886297376,0.9784385214986172,0.9826711316014606,10000,42
SonyAIBORobotSurface1,cpu,0.4040957079996587,0.9201331114808652,0.919829253651704,0.9205273054213986,10000,42
SmoothSubspace,cpu,0.0290064580003672,0.96,0.9599966663333,0.9599966663333,10000,42
ItalyPowerDemand,cpu,0.2125631250019068,0.967930029154519,0.9679295445422992,0.967929908001464,10000,42
SmoothSubspace,cpu,0.0322157499977038,0.96,0.9599966663333,0.9599966663333,10000,42
Strawberry,cpu,1.9909874580007456,0.9756756756756756,0.9737172353372956,0.9757726281676746,10000,42
HandOutlines,mps,43.000696209001035,0.9486486486486486,0.9431574691732364,0.9481234053944788,11000,42
FordB,mps,20.270293249999668,0.8197530864197531,0.8196431294799451,0.8196871122558683,11000,42
NonInvasiveFetalECGThorax1,mps,25.61876824999854,0.9399491094147584,0.9352545461841888,0.938385367555758,11000,42
Rock,mps,2.2632899999989604,0.92,0.9193970503181028,0.9202955465587044,11000,42
HouseTwenty,mps,3.2150786660022277,0.9495798319327732,0.9482608695652174,0.9495798319327732,11000,42
PigArtPressure,mps,6.329182541998307,0.9855769230769232,0.9848595848595848,0.9848595848595848,11000,42
Chinatown,mps,0.0133836669992888,0.9825072886297376,0.9784385214986172,0.9826711316014606,11000,42
SonyAIBORobotSurface1,mps,0.1434967080022033,0.9201331114808652,0.919829253651704,0.9205273054213986,11000,42
SmoothSubspace,mps,0.007791249998263,0.96,0.9599966663333,0.9599966663333,11000,42
ItalyPowerDemand,mps,0.0303555840000626,0.967930029154519,0.9679295445422992,0.967929908001464,11000,42
SmoothSubspace,mps,0.0076992499998596,0.96,0.9599966663333,0.9599966663333,11000,42
Strawberry,mps,1.5131424169994716,0.9756756756756756,0.9737172353372956,0.9757726281676746,11000,42
HandOutlines,cpu,13.876742666998323,0.9486486486486486,0.9431574691732364,0.9481234053944788,11000,42
FordB,cpu,26.020463959001063,0.8197530864197531,0.8196431294799451,0.8196871122558683,11000,42
NonInvasiveFetalECGThorax1,cpu,10.461332166996726,0.9399491094147584,0.9352545461841888,0.938385367555758,11000,42
Rock,cpu,0.804715665999538,0.92,0.9193970503181028,0.9202955465587044,11000,42
HouseTwenty,cpu,1.355096291998052,0.9495798319327732,0.9482608695652174,0.9495798319327732,11000,42
PigArtPressure,cpu,2.0995965830006753,0.9855769230769232,0.9848595848595848,0.9848595848595848,11000,42
Chinatown,cpu,0.0867738339984498,0.9825072886297376,0.9784385214986172,0.9826711316014606,11000,42
SonyAIBORobotSurface1,cpu,0.4254809170015505,0.9201331114808652,0.919829253651704,0.9205273054213986,11000,42
SmoothSubspace,cpu,0.0318892920004145,0.96,0.9599966663333,0.9599966663333,11000,42
ItalyPowerDemand,cpu,0.2356910829985281,0.967930029154519,0.9679295445422992,0.967929908001464,11000,42
SmoothSubspace,cpu,0.0319293329994252,0.96,0.9599966663333,0.9599966663333,11000,42
Strawberry,cpu,2.0654617920008604,0.9756756756756756,0.9737172353372956,0.9757726281676746,11000,42
HandOutlines,mps,43.05336791700029,0.9486486486486486,0.9431574691732364,0.9481234053944788,12000,42
FordB,mps,20.14621362500111,0.8197530864197531,0.8196431294799451,0.8196871122558683,12000,42
NonInvasiveFetalECGThorax1,mps,25.621482375001506,0.9399491094147584,0.9352545461841888,0.938385367555758,12000,42
Rock,mps,2.2870368330004567,0.92,0.9193970503181028,0.9202955465587044,12000,42
HouseTwenty,mps,3.221182209003018,0.9495798319327732,0.9482608695652174,0.9495798319327732,12000,42
PigArtPressure,mps,6.323704499998712,0.9855769230769232,0.9848595848595848,0.9848595848595848,12000,42
Chinatown,mps,0.0133244579992606,0.9825072886297376,0.9784385214986172,0.9826711316014606,12000,42
SonyAIBORobotSurface1,mps,0.149282750000566,0.9201331114808652,0.919829253651704,0.9205273054213986,12000,42
SmoothSubspace,mps,0.0083467500007827,0.96,0.9599966663333,0.9599966663333,12000,42
